"Total";"Ano_CS";"X";"Y";"tmean";"tmax";"tmin";"tseas";"pr";"prseas";"elev";"slope";"linear_infrastr";"forest";"water";"shrub";"bare";"for_shr_bare";"settle_med";"settle_low";"for_shr_grass";"for_shr_crop";"for_shr_agric";"mosaic_low";"settle_high";"crop_med";"grass_low";"crop_high";"grass_med";"grass_high";"mosaic_med";"ext_perm_crop";"crop_low";"int_perm_crop";"mosaic_high";"geometry"
0;2016;-3,16367756853154;39,2270499330747;-0,228204629103009;-0,280808367925854;-0,247634234079776;1,57218006607839;-0,00865936262848504;0,786231087109849;0,0885220204049796;-0,735599632892297;0,792487759945316;0,0796065953138559;0,0289268151576511;0,0107029216083309;0,000231414521261209;0;0,0208273069135088;0,0137691640150419;0,00624819207405265;0,0358113971651721;0,00566965577089962;0,0144055539485103;0,0126120914087359;0,141914955163436;0,00838877639571883;0,00231414521261209;5,78536303153023e-05;0;0;0,0204223315013017;0,192305467168065;0,40578536303153;0;c(-3.16367756853154, 39.2270499330747)
0;2016;-7,63740933614218;42,4086911137545;-1,14523908288217;-1,00351510283184;-1,16751873512991;-0,55940803696325;3,06789421849924;0,668592707754264;-0,0214611066191371;0,31230084755299;1,80741834604169;0,437601296596434;0,0159839043201252;0,187279941876712;0,00100597999217571;0,00195607220700833;0,0090538199295814;0,0188900687419661;0,0253730509137652;0,123679651260269;0,00285027664449785;0,00922148326161069;0,00257083775778237;0,00625943106242665;0,017045772089644;0;0,00843905437880735;0,000894204437489521;0,0226904376012966;0,00201195998435142;0,103727714748784;0,000447102218744761;0,00301793997652713;c(-7.63740933614218, 42.4086911137545)
0;2016;0,0707408456184968;41,8850375474259;-0,441210304906434;-0,551704665128183;-0,401763485618646;1,11836146173918;0,366406412930263;1,08342257688261;-0,532145686341569;-0,215956284415882;0,995103314357427;0,210745870181879;0,0218588353078592;0,0596251181934479;0,000278102230379888;0,000389343122531843;0,0130151843817787;0,0213582512931754;0,00289226319595083;0,106346292897269;0;0,00216919739696312;0,00428277434785027;0,415206629957172;0,00133489070582346;0,0141275933032983;0,000723065798987708;0;0,00088992713721564;0,0744757772957339;0,0472217587185049;0,00305912453417876;0;c(0.0707408456184968, 41.8850375474259)
0;2016;-4,66924986507726;36,7267617907843;-0,15539276122969;0,150217440207334;-0,325855682272885;-0,0943942824851541;0,362488835171879;0,883471163097483;-0,383295566322171;0,396809656994706;1,21934439027208;0,220352564102564;0,00863603988603989;0,113069800569801;0,00436253561253561;0,00738960113960114;0,0373931623931624;0,0288461538461538;0,015491452991453;0,0436253561253561;0,0020477207977208;0,00382834757834758;0,0224358974358974;0,0809294871794872;0,00961538461538462;0;0;0;0;0,259793447293447;0,0231481481481481;0,1190349002849;0;c(-4.66924986507726, 36.7267617907843)
0;2018;-5,23827355169935;39,5976234520017;-0,293622009147366;-0,135744698308307;-0,328444728802146;1,22252068855594;0,809118777926078;1,29964666144814;-0,452657287452393;-0,196786025620461;0,759661172803168;0,403643281259007;0,0270363751657347;0,0758632616590765;0,00011529371072808;0,000288234276820199;0,00368939874329855;0,0138352452873696;0,0457716031590477;0,0512480544186315;0,0518245229722719;0,0223093330258834;0,0023058742145616;0,0923502622931919;0,0734997405891509;0,00651409465613651;0,00587997924713207;0,0017294056609212;0,00167175880555716;0,0566092119674872;0,0469821871216925;0,0168328817662996;0;c(-5.23827355169935, 39.5976234520017)
0;2016;-8,40331160818781;42,2071718231892;-0,915071991562716;-0,659101493221718;-1,00566206265523;-0,968684281649203;3,4997431117627;0,686402315465554;-0,605793231697234;0,15546148681501;2,02048034331937;0,487529954735067;0,0167746516375255;0,14440401171563;0,000798792935120263;0,00248513357592971;0,0558267506878495;0,0338155675867578;0,0115381201739594;0,138989970710926;0,000887547705689181;0,005414041004704;0,0128694417324931;0,00754415549835804;0,00798792935120263;0;0;0;0,00204135972308512;0,000266264311706754;0,0705600426022899;0;0,000266264311706754;c(-8.40331160818781, 42.2071718231892)
0;2016;-0,32284558643463;41,689538540091;-0,203708980199684;-0,249422758161225;-0,212691919933484;1,03559922211682;0,138676135604211;1,00162648225429;-0,854128881164973;-0,534278622688056;0,871727040393938;0,0610444010053058;0,0309969282323373;0,0609885506841664;0,000223401284557386;5,58503211393465e-05;0,0226193800614354;0,0209997207483943;0,00524993018709858;0,110807037140464;0;0,00357442055291818;0,0136274783580006;0,528902541189612;0,0101089081262217;0,0141301312482547;0,000279251605696733;0;0,000446802569114772;0,0275342083216978;0,077520245741413;0,0108908126221726;0;c(-0.32284558643463, 41.689538540091)
0;2016;-3,98817163188051;38,6605464052799;-0,116844393208528;-0,112226076565982;-0,161372179557337;1,61101619064366;0,152331187759802;0,785553439571216;-0,0269200238679452;-0,136942690509952;0,61540647368636;0,385189939896131;0,0179728073758534;0,0559024333313882;0,000933652331213165;0,00163389157962304;0,011203827974558;0,010211822372644;0,036237381105211;0,0557273735192858;0,0284180428313007;0,0189064597070666;0,00571862052868063;0,08297835093657;0,0323277119682558;0;0,0150551438408123;0;0;0,0147050242166073;0,114489117115014;0,112388399369785;0;c(-3.98817163188051, 38.6605464052799)
0;2018;-4,09755797934178;41,5358968611046;-0,984811936752561;-1,02858625781303;-0,95106257610992;0,894753997742147;0,719580949645334;0,160852711868805;0,480223743556596;-0,563839845120759;1,0429366960725;0,187433558999608;0,00307726738656073;0,0064342863537179;0;0;0,0171767470486208;0,0286465618530745;0,0142673306104179;0,115873104683041;0,00195826106417501;0,0269680523694959;0,00979130532087506;0,471661164885582;0,0337380406199295;0,038325966541711;0,00223801264477144;0;0,00134280758686287;0,00632238572147933;0,0116936160689308;0,0230515302411459;0;c(-4.09755797934178, 41.5358968611046)
0;2018;-2,80696444901113;42,3274969025388;-1,3646993879881;-1,25315196429946;-1,43164458728518;0,0177027881306702;1,25501832176067;0,0706833811922051;0,6514170095815;0,299331473966077;0,939893293460621;0,451227604512276;0,00669099756690998;0,0719420482194205;0,00011059500110595;0,000608272506082725;0,0136031851360319;0,0185799601857996;0,0410860429108604;0,0704490157044902;0,00055297500552975;0,0108383101083831;0,0070780800707808;0,0944481309444813;0,0322384428223844;0,0850475558504756;0;0;0,000276487502764875;0,0362198628621986;0,011114797611148;0,0478876354788764;0;c(-2.80696444901113, 42.3274969025388)
